现在麦当劳都不用麦当劳叔叔当吉祥物了。。,1540584491.0,1271.0,2.0,男,炽天的鸡翅^_^,5.0,0.0
肯德基豪华套餐:暗黑麦当劳,1539572044.0,1260.0,0.0,保密,你听得到5,4.0,0.0
肯德基这种不要脸货想一石二鸟麦当劳和汉堡王哪个不比肯德基好垃圾东西,1539508013.0,1259.0,0.0,男,梧桐树下か吃宝塔,3.0,0.0
麦当劳这逼装的可以(⌒▽⌒),1538920326.0,1255.0,0.0,保密,uso67,3.0,0.0
结尾麦当劳小丑（niu）叫的好想一个可耐的吕孩纸！,1538628974.0,1251.0,2.0,保密,蒟蒻av,2.0,0.0
"我们只是想帮麦当劳做更强有力的宣传  
--------肯德基",1538533077.0,1247.0,24.0,保密,一颗糖居然,3.0,0.0
这是麦当劳被黑的最惨的一次,1538457229.0,1244.0,8.0,男,不会起名的污少年,4.0,0.0
这是肯德基拍来黑麦当劳的吧[2233娘_大笑][2233娘_大笑],1538301891.0,1240.0,7.0,保密,三月的狮子i,4.0,0.0
"给不敢看的人做一个视频里的台词
：
旁白：即日起，买快乐儿童餐就送...
（蓝蓝路突然出现）
旁白：麦当劳叔叔！
旁白：你可以整天和麦当劳叔叔在一起
旁白：你可以和麦当劳叔叔玩许多稀奇古怪的乐子！
旁白：他会帮你洗碗
（蓝蓝路把小孩的头。。。）
旁白：他会送你去上学！
旁白：甚至帮小孩洗澡
蓝蓝路：脱吧孩子们，我不会偷看
（小孩在脱衣服，麦当劳在偷看中...）
旁白：嘿，比♂利（黑色衣服小孩），你觉得麦当劳叔叔咋样？（封面）
比利：麦当劳叔叔超有趣！",1538291447.0,1238.0,15.0,男,棉皮爷,4.0,1.0
这个广告告诉我们，只能吃麦当劳,1538198898.0,1237.0,1.0,男,皮老板123456,4.0,1.0
不是广告。这个youtuber专门排这种片子的=_=。后面两个进入视频的导演人员右边那个就是那个YouTuber，他和演麦当劳叔叔的那个是双胞胎，他们两个可以换着来演。自己去youtube里关注他们两个吧他们的视频贼多,1536252795.0,1211.0,7.0,保密,深层网络挖掘者,4.0,0.0
麦当劳拍的还行,1536079875.0,1208.0,0.0,保密,Gummy嘎米,4.0,0.0
说实话，我一直觉得麦当劳叔叔有点可怕还有点ex，不过这确实吓到我了！真的看弹幕都不行了！我得赶紧去老徐外设买点机械键盘回来读读佛经卍,1535295996.0,1174.0,2.0,男,托儿索的情人劫,3.0,1.0
