'name', 'addr', '外卖', '图片', '好评', '中评', '差评', '口味', '环境', '服务', 'price'
肯德基(天钥桥路店),天钥桥路123号,0.0,33.0,43.0,49.0,5.0,7.0,7.0,6.9, 21 
肯德基(瑞虹店),临平路123号,1.0,139.0,231.0,89.0,49.0,7.5,7.5,7.4, 38 
肯德基(金钟店),淮海中路98号,0.0,16.0,22.0,2.0,1.0,8.0,8.0,7.8, 25 
肯德基(星宝购物中心店),漕宝路1574号1层128室,1.0,38.0,47.0,7.0,3.0,7.9,8.3,7.8, 36 
肯德基(莲花店),上南路3521号,1.0,70.0,126.0,45.0,25.0,7.4,7.6,7.6, 26 
肯德基(漕东店),轻轨3号线漕溪站1楼,1.0,97.0,151.0,56.0,30.0,7.4,7.4,7.3, 24 
肯德基(香港广场店),淮海中路282号香港广场商场北座地下一层NBL04室,1.0,205.0,299.0,137.0,63.0,7.6,7.6,7.6, 29 
肯德基(芮欧店),南京西路1601号越洋广场商场B2层芮欧美食广场,0.0,266.0,313.0,75.0,45.0,7.7,7.5,7.6, 26 
肯德基(春申店),春申路2801号,1.0,88.0,171.0,54.0,42.0,7.3,7.6,7.5, 26 
肯德基(乳山店),乳山路136号,1.0,84.0,155.0,51.0,33.0,7.4,7.6,7.5, 30 
肯德基(威宁店),天山路352号101和201,1.0,117.0,173.0,58.0,33.0,7.3,7.4,7.4, 27 
肯德基(崇明店),崇明城桥镇八一路138号,1.0,22.0,82.0,41.0,10.0,7.2,7.2,7.2, 37 
肯德基(人民店),惠南镇人民东路2635弄152-158号,1.0,41.0,107.0,19.0,24.0,7.4,7.2,7.3, 30 
肯德基(成山店),成山路436号,1.0,115.0,190.0,60.0,39.0,7.4,7.5,7.4, 33 
肯德基(延吉店),靖宇东路280号,1.0,131.0,223.0,95.0,64.0,7.5,7.3,7.3, 25 
肯德基(漕宝路站店),漕溪路280号1号楼一层,1.0,64.0,64.0,20.0,13.0,7.5,7.5,7.0, 33 
肯德基(控江店),双辽路768号,1.0,225.0,380.0,103.0,65.0,7.6,7.6,7.4, 30 
肯德基(秀山店),番愚路872号一层,1.0,82.0,129.0,38.0,28.0,7.5,7.8,7.5, 28 
肯德基(新凌云店),凌云路365号1F，2F,1.0,117.0,196.0,42.0,44.0,7.8,7.6,7.7, 47 
肯德基(康桥店),康桥镇秀沿路1032-1080号,1.0,59.0,110.0,32.0,22.0,7.6,7.7,7.4, 36 
肯德基(玉田店),玉田路280号,1.0,131.0,201.0,84.0,30.0,7.6,7.7,7.6, 32 
肯德基(北蔡店),北中路183号1层,1.0,60.0,85.0,29.0,10.0,7.4,7.6,7.4, 36 
肯德基(昌里店),上南路1160号1层,1.0,232.0,335.0,121.0,70.0,7.4,7.3,7.2, 31 
肯德基(长海店),"长海路359,361,363号",1.0,138.0,220.0,59.0,38.0,7.6,7.7,7.4, 31 
肯德基(田林店),田林路1号,1.0,149.0,225.0,77.0,37.0,7.7,7.7,7.6, 26 
肯德基(新南方商城店),沪闵路7388号,1.0,183.0,287.0,98.0,44.0,7.6,7.5,7.1, 32 
肯德基(利通广场店),四川北路1350号利通广场1层,0.0,73.0,65.0,28.0,15.0,7.4,7.1,7.2, 36 
肯德基(江苏店),江苏街道江苏路458号112B、113、215、216室,0.0,102.0,131.0,25.0,22.0,7.9,7.7,7.5, 34 
肯德基(荣乐店),荣乐中路552号,1.0,34.0,65.0,8.0,5.0,7.8,7.9,7.6, 43 
肯德基(永泰店),东明路2655号,1.0,99.0,167.0,55.0,34.0,7.7,7.6,7.5, 33 
肯德基(惠乐店),人民西路955号,1.0,51.0,741.0,72.0,30.0,7.8,7.8,7.8, 32 
肯德基(曹杨店),兰溪路137号,1.0,135.0,216.0,70.0,43.0,7.8,7.7,7.5, 32 
肯德基(百齐店),百齐路588号百联南桥购物中心二期1层,0.0,34.0,100.0,24.0,10.0,7.6,7.7,7.6, 35 
肯德基(钦州店),桂林路39号一-三层,1.0,141.0,205.0,78.0,51.0,7.3,7.3,7.1, 31 
肯德基(金桥店),"张杨路3611弄1号123,124,216室",1.0,135.0,246.0,92.0,52.0,7.9,7.8,7.5, 30 
肯德基(颛桥店),"颛兴路89,93,113号一至二层",1.0,81.0,169.0,47.0,34.0,7.5,7.6,7.4, 35 
肯德基(佘山店),"佘山镇桃源路190号2层，192,194号1-2层",0.0,29.0,58.0,6.0,9.0,7.6,7.7,7.6, 32 
肯德基(瞿溪店),瞿溪路477号,1.0,138.0,192.0,50.0,32.0,7.5,7.2,6.9, 29 
肯德基(浦三店),浦东南路2551号,1.0,107.0,177.0,61.0,28.0,7.5,7.5,7.5, 33 
肯德基(凉城联华店),车站南路370弄,1.0,103.0,178.0,57.0,47.0,7.6,7.5,7.2, 30 
肯德基(青浦店),公园路461号,1.0,22.0,47.0,14.0,10.0,7.6,7.7,7.5, 29 
肯德基(虹许店),"吴中路729,769号苏宁电器一层二层",1.0,57.0,86.0,16.0,14.0,7.7,7.6,7.6, 57 
肯德基(东川店),东川路2088号－2098号,1.0,92.0,176.0,71.0,30.0,7.6,7.4,7.3, 32 
肯德基(川沙店),新川路401号,1.0,47.0,70.0,28.0,17.0,7.6,7.6,7.2, 30 
肯德基(仙霞店),仙霞路606号,1.0,121.0,183.0,67.0,18.0,7.9,7.5,7.5, 24 
肯德基(光大店),漕宝路78号,1.0,95.0,129.0,56.0,18.0,7.5,7.1,7.5, 34 
肯德基(淞沪店),淞沪路8号7楼,0.0,187.0,237.0,110.0,40.0,7.6,7.6,7.4, 37 
肯德基(枫泾店),枫泾镇白牛路280号,1.0,20.0,46.0,1.0,6.0,7.6,7.7,7.5, 32 
肯德基(海光店),大木桥路370号,1.0,132.0,247.0,93.0,56.0,7.5,7.3,7.3, 28 
肯德基(锦尊店),"成山路1957号,锦尊路499弄2号203，204室",1.0,100.0,146.0,62.0,50.0,7.3,7.3,6.8, 33 
肯德基(巨峰店),巨峰路239号,1.0,69.0,81.0,22.0,13.0,7.4,7.5,7.4, 31 
肯德基(汇金店),肇嘉浜路998号,1.0,164.0,210.0,80.0,36.0,7.6,7.5,7.3, 26 
肯德基(安亭店),昌吉路188号,1.0,38.0,80.0,15.0,12.0,7.9,7.9,7.9, 36 
肯德基(古棕店),古棕路574号农工商超市一楼,1.0,43.0,76.0,12.0,16.0,7.6,7.5,7.2, 40 
肯德基(赤峰店),赤峰路轻轨站1楼,1.0,158.0,308.0,109.0,40.0,7.5,7.5,7.4, 35 
肯德基(大润发店),黄兴路1616号,1.0,194.0,295.0,117.0,61.0,7.4,7.3,7.2, 31 
肯德基(石龙店),柳州路36号1幢,1.0,21.0,33.0,5.0,6.0,7.2,7.1,7.2, 38 
肯德基(新天山店),天山路900号118号商铺1层-B1层,1.0,160.0,245.0,107.0,41.0,7.5,7.4,7.3, 25 
肯德基(泗宝店),泗泾镇横港路61号,1.0,65.0,99.0,15.0,12.0,7.9,7.7,7.5, 32 
肯德基(秀沿店),秀沿路2532号,1.0,31.0,45.0,6.0,3.0,8.0,7.9,8.3, 37 
肯德基(中远店),普远景路616号一层,1.0,77.0,111.0,24.0,23.0,7.7,7.6,7.4, 36 
肯德基(聚丰店),聚丰园路205号,1.0,91.0,198.0,64.0,30.0,7.7,7.5,7.5, 30 
肯德基(石龙店),柳州路36号1幢,1.0,21.0,33.0,5.0,6.0,7.2,7.1,7.2, 38 
肯德基(翔川店),妙镜路1118号E号商铺,1.0,42.0,59.0,16.0,9.0,7.6,7.5,7.5, 33 
肯德基(季景店),外高桥夏碧路261号,1.0,35.0,77.0,27.0,11.0,7.5,7.6,7.2, 28 
肯德基(赤峰店),赤峰路轻轨站1楼,1.0,158.0,308.0,109.0,40.0,7.5,7.5,7.4, 35 
肯德基(沪东店),平凉路1500号,1.0,117.0,234.0,64.0,55.0,7.6,7.5,7.5, 29 
肯德基(隆昌店),隆昌路586号101商铺,1.0,123.0,154.0,35.0,29.0,7.8,8.0,7.9, 27 
肯德基(航头店),沪南公路5588-5592号一层,1.0,41.0,82.0,24.0,29.0,7.3,7.3,7.2, 40 
肯德基(蓝村路店),东方路1367号富都广场一层,1.0,130.0,170.0,27.0,10.0,8.1,8.1,7.9, 28 
肯德基(中远店),普远景路616号一层,1.0,77.0,111.0,24.0,23.0,7.7,7.6,7.4, 36 
肯德基(金谊店),上南路4467号20号中房金谊广场南区1层,1.0,91.0,172.0,43.0,38.0,7.6,7.3,7.3, 32 
肯德基(七莘店),七莘路695号,1.0,40.0,80.0,18.0,20.0,7.5,7.4,7.2, 30 
肯德基(都市店),都市路3759号龙盛国际商业广场1层,1.0,66.0,102.0,19.0,12.0,7.7,7.7,7.8, 36 
肯德基(永隆店),淮海中路1298号,1.0,169.0,270.0,80.0,47.0,7.6,7.7,7.5, 28 
肯德基(昌平店),常德路778号102商铺,1.0,117.0,192.0,61.0,43.0,7.5,7.4,7.2, 23 
肯德基(苗圃店),杨高中路2128号,1.0,58.0,95.0,33.0,20.0,7.6,7.6,7.5, 36 
肯德基(邯郸店),"邯郸路585号地下一层B-2,B-8-1,B-8-3",1.0,139.0,162.0,54.0,61.0,7.2,7.4,7.3, 22 
肯德基(古棕店),古棕路574号农工商超市一楼,1.0,43.0,76.0,12.0,16.0,7.6,7.5,7.2, 40 
肯德基(国顺店),国顺东路188号,1.0,92.0,186.0,52.0,42.0,7.5,7.3,7.0, 28 
肯德基(大学城店),文汇路818号,1.0,98.0,170.0,69.0,31.0,7.6,7.6,7.4, 34 
肯德基(年家浜店),"周浦镇沪南公路3449弄1幢32号236-1,236-2号,240号108",1.0,83.0,172.0,52.0,33.0,7.4,7.5,7.2, 27 
肯德基(长风店),金沙江路588号,1.0,112.0,168.0,72.0,24.0,7.5,7.4,7.2, 34 
肯德基(金杨店),金杨路524号,1.0,113.0,201.0,61.0,42.0,7.3,7.1,7.1, 34 
肯德基(长寿店),长寿路401号二楼,1.0,217.0,343.0,155.0,53.0,7.5,7.7,7.6, 37 
肯德基(浦东机场T1店),浦东机场1号航站楼安检外国际出发区域3层公众区南端集中餐饮区域1,0.0,28.0,39.0,8.0,6.0,7.6,7.6,7.4, 35 
肯德基(康沈店),周浦康沈路1645-1649号,1.0,57.0,112.0,28.0,22.0,7.6,7.4,7.3, 34 
肯德基(延长店),延长中路312号,1.0,167.0,246.0,78.0,44.0,7.4,7.4,7.4, 30 
肯德基(沪太店),中山北路1015号,1.0,56.0,141.0,40.0,21.0,7.7,7.7,7.7, 26 
肯德基(沪太店),中山北路1015号,1.0,56.0,141.0,40.0,21.0,7.7,7.7,7.7, 26 
肯德基(中华新店),中华新路567号,1.0,91.0,159.0,56.0,25.0,7.7,7.6,7.4, 28 
